,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1311409187130400768,1311409187130400768,2020-09-30 22:54:49 ora legale Europa occidentale,2020-09-30,22:54:49,200,151967576,attorneycrump,Ben Crump,,"Myles Cosgrove fired the shot that killed Breonna Taylor, and now he’s trying to fundraise $75K to “retire”? Why should he get that luxury after taking it away from Bre? It was only “tragic for all involved"" due to the actions taken by all 4 officers!  https://t.co/tRYe5v3SWB",en,[],['https://www.nbcnews.com/news/us-news/officer-breonna-taylor-case-who-fired-fatal-shot-has-fundraiser-n1241432'],[],73,502,1243,[],[],https://twitter.com/AttorneyCrump/status/1311409187130400768,False,,0,,,,,,,,[],,,,
1,1311376970236784640,1311376970236784640,2020-09-30 20:46:48 ora legale Europa occidentale,2020-09-30,20:46:48,200,151967576,attorneycrump,Ben Crump,,"If @KYOAG used the grand jury as a shield in order to not give justice to Breonna Taylor, we NEED to know! We need to know if Bre was disrespected in the courtroom. We need to know if there was transparency. We need the transcripts with no more delays!  https://t.co/1eDg6Kid04",en,"[{'screen_name': 'kyoag', 'name': 'attorney general daniel cameron', 'id': '1205238738097455104'}]",[],[],22,150,445,[],[],https://twitter.com/AttorneyCrump/status/1311376970236784640,False,,1,https://pbs.twimg.com/amplify_video_thumb/1311372527768424449/img/rfkEYTzCYxR9V8oY.jpg,,,,,,,[],,,,
2,1311353822225330181,1311353822225330176,2020-09-30 19:14:49 ora legale Europa occidentale,2020-09-30,19:14:49,200,151967576,attorneycrump,Ben Crump,,Is anyone surprised by this? 🙄  https://t.co/FQuzRL0aOi,en,[],['https://www.usatoday.com/story/news/nation/2020/09/30/daniel-cameron-wants-release-delayed-breonna-taylor-grand-jury-recordings/3586406001/'],[],632,911,3375,[],[],https://twitter.com/AttorneyCrump/status/1311353822225330181,False,,0,,,,,,,,[],,,,
3,1311338849113645058,1311338849113645056,2020-09-30 18:15:19 ora legale Europa occidentale,2020-09-30,18:15:19,200,151967576,attorneycrump,Ben Crump,,"Shame on Tyree Conyers-Page for allegedly defrauding 1000s of BLM supporters by using donations for personal gain. Before donating, confirm the recipient is affiliated w/ a legit organization &amp; will use your $$$ to benefit our people &amp; communities.  https://t.co/5KOil5jwFG",en,[],['https://www.wsbtv.com/news/local/atlanta/atlanta-based-activist-allegedly-used-blm-group-launder-more-than-200k-personal-purchases-fbi-says/IO7SSWUMDZEVLFKBKZQFI57LHM/'],[],28,144,431,[],[],https://twitter.com/AttorneyCrump/status/1311338849113645058,False,,0,,,,,,,,[],,,,
4,1311295509202644994,1311295509202644992,2020-09-30 15:23:06 ora legale Europa occidentale,2020-09-30,15:23:06,200,151967576,attorneycrump,Ben Crump,,"Students ""pranked"" a Black @SFASU cheerleader by calling in a false report to campus police, leading them to swarm into her dorm with guns! This is NOT a prank, it's LIFE-THREATENING, esp. for a Black woman!! States should pass the KAREN Act &amp; make these false reports ILLEGAL!  https://t.co/FecQT39e8u",en,"[{'screen_name': 'sfasu', 'name': 'stephen f. austin state university', 'id': '14858317'}]",[],[],229,1498,3839,[],[],https://twitter.com/AttorneyCrump/status/1311295509202644994,False,,1,https://pbs.twimg.com/amplify_video_thumb/1311016037601677312/img/zVMx_h-qEgQZXVKm.jpg,,,,,,,[],,,,
5,1311139454153666560,1311139454153666560,2020-09-30 05:03:00 ora legale Europa occidentale,2020-09-30,05:03:00,200,151967576,attorneycrump,Ben Crump,,"When a BLACK man with 10 firearms shoots a gun inside his home and resists arrest we schedule a funeral. BUT when it's Trump's former campaign manager (who's white), police offer him repeated assurances like ""We’re going to get you off the ground in just a second, OK?""  https://t.co/lgyg3y79rL",en,[],[],[],108,529,1650,[],[],https://twitter.com/AttorneyCrump/status/1311139454153666560,False,,1,https://pbs.twimg.com/amplify_video_thumb/1311016789418049541/img/ikYQ2jmwMgSZbGQG.jpg,,,,,,,[],,,,
6,1311123994096152576,1311123994096152576,2020-09-30 04:01:34 ora legale Europa occidentale,2020-09-30,04:01:34,200,151967576,attorneycrump,Ben Crump,,Are there two justice systems in America? Yes! And it’s time to finally address this crisis for Black Americans. #PresidentialDebate,en,[],[],[],28,352,2109,['presidentialdebate'],[],https://twitter.com/AttorneyCrump/status/1311123994096152576,False,,0,,,,,,,,[],,,,
7,1311107996437499904,1311107996437499904,2020-09-30 02:58:00 ora legale Europa occidentale,2020-09-30,02:58:00,200,151967576,attorneycrump,Ben Crump,,Disgusting. A data leak revealed that the Trump campaign wanted to deter up of 3.5 million Black voters from voting in the 2016 election. We cannot let them silence our collective voice for change! We must VOTE! ✊🏾 #BidenHarris  https://t.co/FYxrQwUmhB,en,[],['https://thegrio.com/2020/09/28/trump-administration-suppressed-black-vote-over-3-million-2016//'],[],33,466,1227,['bidenharris'],[],https://twitter.com/AttorneyCrump/status/1311107996437499904,False,,0,,,,,,,,[],,,,
0,1312177292253241344,1312177292253241344,2020-10-03 01:47:00 ora legale Europa occidentale,2020-10-03,01:47:00,200,151967576,attorneycrump,Ben Crump,,"Ever heard of #kettling? It's a disgusting tactic used by @NYPDnews to barricade and ATTACK its civilians including essential workers! In what world is it acceptable to ANTAGONIZE, BEAT, and WRONGFULLY arrest PEACEFUL protestors!?  https://t.co/H10SYxx4PP",en,"[{'screen_name': 'nypdnews', 'name': 'nypd news', 'id': '17393196'}]",['https://www.cnn.com/2020/10/01/us/nypd-kettling-human-rights-watch/index.html'],[],57,447,967,['kettling'],[],https://twitter.com/AttorneyCrump/status/1312177292253241344,False,,0,,,,,,,,[],,,,
1,1312133252031959046,1312133252031959040,2020-10-02 22:52:00 ora legale Europa occidentale,2020-10-02,22:52:00,200,151967576,attorneycrump,Ben Crump,,"Despite @LMPD REPEATEDLY being told #BreonnaTaylor WAS NOT receiving suspicious packages, officers STILL insisted on following through with their “investigation”! Just how thorough was this MANHUNT?!  https://t.co/yTl387bbXY",en,"[{'screen_name': 'lmpd', 'name': 'lmpd', 'id': '18904764'}]",['https://www.nydailynews.com/news/national/ny-breonna-taylor-repeatedly-told-packages-drug-investigation-20201002-vu67vzw2p5ft7jgfyg4iv3gk6m-story.html#rt=chartbeat-flt'],[],52,427,1133,['breonnataylor'],[],https://twitter.com/AttorneyCrump/status/1312133252031959046,False,,0,,,,,,,,[],,,,
2,1312082310418911235,1312082310418911232,2020-10-02 19:29:34 ora legale Europa occidentale,2020-10-02,19:29:34,200,151967576,attorneycrump,Ben Crump,,"GRAND JURY RECORDING from #BreonnaTaylor case has been released publicly. With 20+ hours of audio, everyone can now listen to exactly what @kyoag presented to the grand jury! We will be reviewing all footage and provide updates when available.  FULL AUDIO:  https://t.co/fDIOI46KrM",en,"[{'screen_name': 'kyoag', 'name': 'attorney general daniel cameron', 'id': '1205238738097455104'}]",['https://www.newsnationnow.com/us-news/mid-south/breonna-taylor-grand-jury-recording-to-be-released-by-friday-afternoon/'],[],60,676,1595,['breonnataylor'],[],https://twitter.com/AttorneyCrump/status/1312082310418911235,False,,0,,,,,,,,[],,,,
