,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1311452264926601217,1311452264926601216,2020-10-01 01:46:00 ora legale Europa occidentale,2020-10-01,01:46:00,200,939091,joebiden,Joe Biden,,Chip in to help us take this train all the way to 1600 Pennsylvania Ave:  https://t.co/i5hXFouYHi  https://t.co/jzlKzUO0MJ,en,[],['https://joe.link/36kuCpH'],['https://pbs.twimg.com/tweet_video_thumb/EjM17aSXYAEwh2A.jpg'],1229,2630,18535,[],[],https://twitter.com/JoeBiden/status/1311452264926601217,False,,1,https://pbs.twimg.com/tweet_video_thumb/EjM17aSXYAEwh2A.jpg,,,,,,,[],,,,
1,1311445679122903042,1311445675197050880,2020-10-01 01:19:50 ora legale Europa occidentale,2020-10-01,01:19:50,200,939091,joebiden,Joe Biden,,"And do me a favor, make sure to select the train icon when you do.  https://t.co/CMIaVb5BRX",en,[],[],['https://pbs.twimg.com/media/EjMwd2dX0AU5M-s.jpg'],441,997,8126,[],[],https://twitter.com/JoeBiden/status/1311445679122903042,False,,1,https://pbs.twimg.com/media/EjMwd2dX0AU5M-s.jpg,,,,,,,[],,,,
2,1311445675197050881,1311445675197050880,2020-10-01 01:19:49 ora legale Europa occidentale,2020-10-01,01:19:49,200,939091,joebiden,Joe Biden,,"I'm giving everything I've got in these final 34 days to make sure we beat Donald Trump, but I can't do it without your help.  Join our grassroots fundraising team to help us win this November.  https://t.co/T5CN04xsXo",en,[],['https://joebiden.com/join-our-grassroots-fundraising-team/'],[],1121,2341,13580,[],[],https://twitter.com/JoeBiden/status/1311445675197050881,False,,0,,,,,,,,[],,,,
3,1311433140078964736,1311433140078964736,2020-10-01 00:30:00 ora legale Europa occidentale,2020-10-01,00:30:00,200,939091,joebiden,Joe Biden,,White supremacy has no place in America.  We shouldn’t have to beg the President of the United States to say that.,en,[],[],[],9932,56140,306938,[],[],https://twitter.com/JoeBiden/status/1311433140078964736,False,,0,,,,,,,,[],,,,
4,1311423649891508224,1311423649891508224,2020-09-30 23:52:17 ora legale Europa occidentale,2020-09-30,23:52:17,200,939091,joebiden,Joe Biden,,"We're in Greensburg, Pennsylvania, for stop four of the Build Back Better Express Tour. Tune in now to watch.  https://t.co/1NOIrJrvJd",en,[],['https://www.pscp.tv/w/ckOkETFvUEVMQkJiT2xyS2R8MU95S0FnWURqUE1KYuDeyxioQA3uSes4lbONyFu7VmSzPf1mSfKlHSiyyKjF'],[],892,1832,9871,[],[],https://twitter.com/JoeBiden/status/1311423649891508224,False,,0,,,,,,,,[],,,,
5,1311422569522831363,1311422569522831360,2020-09-30 23:48:00 ora legale Europa occidentale,2020-09-30,23:48:00,200,939091,joebiden,Joe Biden,,"Ignore the polls, ignore his tweets, ignore his obnoxious debate performance.  We have to stay focused. We have to win.  Chip in to help us do it:  https://t.co/qTfNFIRY9Y",en,[],['https://joe.link/3jdtJD0'],[],3967,5536,29895,[],[],https://twitter.com/JoeBiden/status/1311422569522831363,False,,0,,,,,,,,[],,,,
6,1311415774687395840,1311415774687395840,2020-09-30 23:21:00 ora legale Europa occidentale,2020-09-30,23:21:00,200,939091,joebiden,Joe Biden,,"Hello, Greensburg!  https://t.co/m7L9zdM8uF",en,[],[],[],5687,10469,80374,[],[],https://twitter.com/JoeBiden/status/1311415774687395840,False,,1,https://pbs.twimg.com/media/EjMUwNmWsAszFfh.jpg,,,,,,,[],,,,
7,1311395138506240001,1311395138506240000,2020-09-30 21:59:00 ora legale Europa occidentale,2020-09-30,21:59:00,200,939091,joebiden,Joe Biden,,Listening to folks and discussing how we can make their lives better. It’s what our Build Back Better Express Tour is all about — and it’s what I’ll do every day as your president.  https://t.co/y6m8F2UnQy,en,[],[],['https://pbs.twimg.com/media/EjMCMfgWsAEwVpS.jpg'],2047,5250,38206,[],[],https://twitter.com/JoeBiden/status/1311395138506240001,False,,1,https://pbs.twimg.com/media/EjMCMfgWsAEwVpS.jpg,,,,,,,[],,,,
8,1311379090608279552,1311379090608279552,2020-09-30 20:55:14 ora legale Europa occidentale,2020-09-30,20:55:14,200,939091,joebiden,Joe Biden,,"We're in Pittsburgh, Pennsylvania, for stop three of the Build Back Better Express Tour. Tune in now to watch.  https://t.co/KoGBkEKUxS",en,[],['https://www.pscp.tv/w/ckN6kjFvUEVMQkJiT2xyS2R8MWxEeEx5Z3B5d2tLbdkTDopCOUlBCtUn0hqFgq6odzaSF-Re0yDcgod0Ban9'],[],1070,1911,10665,[],[],https://twitter.com/JoeBiden/status/1311379090608279552,False,,0,,,,,,,,[],,,,
9,1311374502505279489,1311374502505279488,2020-09-30 20:37:00 ora legale Europa occidentale,2020-09-30,20:37:00,200,939091,joebiden,Joe Biden,,"Donald Trump showed the country last night just how unfit he is to be president. If you weren't able to bear watching it, we condensed it down to one minute for you:  https://t.co/uopjSrldzn",en,[],[],[],5814,27207,121107,[],[],https://twitter.com/JoeBiden/status/1311374502505279489,False,,1,https://pbs.twimg.com/media/EjLuVNBWsAAW9fX.jpg,,,,,,,[],,,,
10,1311365694886481920,1311365694886481920,2020-09-30 20:02:00 ora legale Europa occidentale,2020-09-30,20:02:00,200,939091,joebiden,Joe Biden,,"I took the Amtrak from Wilmington to Washington, D.C., every day for 36 years. The journey became routine, but the hardworking men and women I met along the way became dear friends.  https://t.co/kyikjGKFQ9",en,[],[],[],1274,6331,36914,[],[],https://twitter.com/JoeBiden/status/1311365694886481920,False,,1,https://pbs.twimg.com/media/EfttXppXgAAT-z9.jpg,,,,,,,[],,,,
11,1311341062430945280,1311341062430945280,2020-09-30 18:24:07 ora legale Europa occidentale,2020-09-30,18:24:07,200,939091,joebiden,Joe Biden,,"We're in Alliance, Ohio, for stop two of the Build Back Better Express Tour. Tune in now to watch.  https://t.co/N6K38Z0ANO",en,[],['https://www.pscp.tv/w/ckNXJzFvUEVMQkJiT2xyS2R8MWVhS2J6UXpnem9LWMU2v3LFpja_MTGq2zGW5VZbglE6Ary6GVTcXxAxciq7'],[],1481,2313,13171,[],[],https://twitter.com/JoeBiden/status/1311341062430945280,False,,0,,,,,,,,[],,,,
12,1311305227123871744,1311305227123871744,2020-09-30 16:01:43 ora legale Europa occidentale,2020-09-30,16:01:43,200,939091,joebiden,Joe Biden,,All aboard! Tune in as @DrBiden and I kick off our train tour through Ohio and Pennsylvania.  https://t.co/z2m4tpAHNJ,en,"[{'screen_name': 'drbiden', 'name': 'dr. jill biden', 'id': '821784477076750338'}]",['https://www.pscp.tv/w/ckM1xzFvUEVMQkJiT2xyS2R8MXlvS01YYVhkUGt4UbBogv6r_iuBrutZJps6cz6_qAClkEAl1G83uIGdr7zq'],[],2029,2858,17691,[],[],https://twitter.com/JoeBiden/status/1311305227123871744,False,,0,,,,,,,,[],,,,
13,1311278369296719872,1311278369296719872,2020-09-30 14:15:00 ora legale Europa occidentale,2020-09-30,14:15:00,200,939091,joebiden,Joe Biden,,Had enough?  https://t.co/4W5OSoRzXI,en,[],[],[],18499,55835,304127,[],[],https://twitter.com/JoeBiden/status/1311278369296719872,False,,1,https://pbs.twimg.com/amplify_video_thumb/1311267373727600640/img/yK6R__Ip1S7ZFXzf.jpg,,,,,,,[],,,,
14,1311268302950260737,1311268302950260736,2020-09-30 13:35:00 ora legale Europa occidentale,2020-09-30,13:35:00,200,939091,joebiden,Joe Biden,,There’s no other way to put it: the President of the United States refused to disavow white supremacists on the debate stage last night.  https://t.co/Q3VZTW1vUV,en,[],[],[],17422,52721,168676,[],[],https://twitter.com/JoeBiden/status/1311268302950260737,False,,1,https://pbs.twimg.com/amplify_video_thumb/1311265718449713154/img/Up8K7fyF_5mdEweD.jpg,,,,,,,[],,,,
15,1311146751869550594,1311146751869550592,2020-09-30 05:32:00 ora legale Europa occidentale,2020-09-30,05:32:00,200,939091,joebiden,Joe Biden,,"Folks, we don't have to put up with four more years of that.  https://t.co/aIt2BNuQg3",en,[],['https://joe.link/2HJ8ZVZ'],[],5386,11436,77629,[],[],https://twitter.com/JoeBiden/status/1311146751869550594,False,,0,,,,,,,,[],,,,
16,1311143480379371520,1311143480379371520,2020-09-30 05:19:00 ora legale Europa occidentale,2020-09-30,05:19:00,200,939091,joebiden,Joe Biden,,This. This is Donald Trump's America.,en,[],[],[],7271,59500,221920,[],[],https://twitter.com/JoeBiden/status/1311143480379371520,False,https://twitter.com/ByMikeBaker/status/1311130735584051201,0,,,,,,,,[],,,,
