,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1311362214532538368,1311362214532538368,2020-09-30 19:48:10 ora legale Europa occidentale,2020-09-30,19:48:10,200,754006735468261376,lilnasx,NASARATI,,lmaooo what,en,[],[],[],388,3591,95734,[],[],https://twitter.com/LilNasX/status/1311362214532538368,False,https://twitter.com/JayyThasteppaa/status/1311357956022177792,0,,,,,,,,[],,,,
0,1312441368443195392,1312441135269257216,2020-10-03 19:16:20 ora legale Europa occidentale,2020-10-03,19:16:20,200,754006735468261376,lilnasx,NASARATI,,@LilNasXBrasil no they aren’t lol,en,[],[],[],12,2,85,[],[],https://twitter.com/LilNasX/status/1312441368443195392,False,,0,,,,,,,,"[{'screen_name': 'LilNasXBrasil', 'name': 'Lil Nas X Brasil', 'id': '980194673066160131'}]",,,,
1,1312409013426905088,1312409013426905088,2020-10-03 17:07:46 ora legale Europa occidentale,2020-10-03,17:07:46,200,754006735468261376,lilnasx,NASARATI,,things finna get weird. mars is in venice beach &amp; mercury is doing the renegade,en,[],[],[],436,31829,243993,[],[],https://twitter.com/LilNasX/status/1312409013426905088,False,,0,,,,,,,,[],,,,
2,1312183186235908096,1312170564618842112,2020-10-03 02:10:25 ora legale Europa occidentale,2020-10-03,02:10:25,200,754006735468261376,lilnasx,NASARATI,,@lilnasxmajor goat,en,[],[],[],9,2,69,[],[],https://twitter.com/LilNasX/status/1312183186235908096,False,,0,,,,,,,,"[{'screen_name': 'lilnasxmajor', 'name': '𝙈𝘼𝙅𝙊𝙍 on the vmas??', 'id': '1126603580788609025'}]",,,,
0,1313989854368133120,1313988931030061056,2020-10-08 01:49:28 ora legale Europa occidentale,2020-10-08,01:49:28,200,754006735468261376,lilnasx,NASARATI,,@WeLoveLilNasX1 @LilAssNex @LilNasXBrasil ratio,en,[],[],[],11,1,92,[],[],https://twitter.com/LilNasX/status/1313989854368133120,False,,0,,,,,,,,"[{'screen_name': 'LilNasXBrasil', 'name': 'Lil Nas X Brasil', 'id': '980194673066160131'}]",,,,
1,1313989707374555138,1313988931030061056,2020-10-08 01:48:53 ora legale Europa occidentale,2020-10-08,01:48:53,200,754006735468261376,lilnasx,NASARATI,,@LilAssNex @LilNasXBrasil don’t left pls,en,[],[],[],7,0,55,[],[],https://twitter.com/LilNasX/status/1313989707374555138,False,,0,,,,,,,,"[{'screen_name': 'LilNasXBrasil', 'name': 'Lil Nas X Brasil', 'id': '980194673066160131'}]",,,,
3,1313891202899439617,1313600846534385664,2020-10-07 19:17:28 ora legale Europa occidentale,2020-10-07,19:17:28,200,754006735468261376,lilnasx,NASARATI,,@GiselleSanxhez cute asf either way,en,[],[],[],75,149,11736,[],[],https://twitter.com/LilNasX/status/1313891202899439617,False,,0,,,,,,,,[],,,,
4,1313737529632288769,1313357481700139008,2020-10-07 09:06:49 ora legale Europa occidentale,2020-10-07,09:06:49,200,754006735468261376,lilnasx,NASARATI,,@KashnOrangeJuse her voice made me feel so safe,en,[],[],[],3,4,241,[],[],https://twitter.com/LilNasX/status/1313737529632288769,False,,0,,,,,,,,"[{'screen_name': 'KashnOrangeJuse', 'name': '*Moesha’s Diary Music', 'id': '159709226'}]",,,,
0,1314669598982070272,1314669598982070272,2020-10-09 22:50:32 ora legale Europa occidentale,2020-10-09,22:50:32,200,754006735468261376,lilnasx,NASARATI,,so he watched slavery happen and did nothing?,en,[],[],[],2605,73102,845415,[],[],https://twitter.com/LilNasX/status/1314669598982070272,False,https://twitter.com/BerserkAnna/status/1314427606410829824,0,,,,,,,,[],,,,
0,1316165626101030912,1316159607203659776,2020-10-14 01:55:13 ora legale Europa occidentale,2020-10-14,01:55:13,200,754006735468261376,lilnasx,NASARATI,,@lilnasxmajor nasvember right around the corner  🥳,en,[],[],[],36,29,672,[],[],https://twitter.com/LilNasX/status/1316165626101030912,False,,0,,,,,,,,"[{'screen_name': 'lilnasxmajor', 'name': '𝙈𝘼𝙅𝙊𝙍', 'id': '1126603580788609025'}]",,,,
1,1316147576555462656,1316084296700973056,2020-10-14 00:43:29 ora legale Europa occidentale,2020-10-14,00:43:29,200,754006735468261376,lilnasx,NASARATI,,@nickmira congrats young king,en,[],[],[],5,2,328,[],[],https://twitter.com/LilNasX/status/1316147576555462656,False,,0,,,,,,,,"[{'screen_name': 'nickmira', 'name': 'Miratouch', 'id': '2269991543'}]",,,,
