,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1312120085809565696,1312120085809565696,2020-10-02 21:59:41 ora legale Europa occidentale,2020-10-02,21:59:41,200,17565514,shondarhimes,shonda rhimes,,“I will define the current state of the world around me instead of allowing it to define me.” - @cleowade  https://t.co/VPYLeqSYiT  https://t.co/dgCJacRVvj,en,"[{'screen_name': 'cleowade', 'name': 'cleo wade', 'id': '563806953'}]",['https://instagr.am/p/CF2lV7Cps7f/'],['https://pbs.twimg.com/media/EjWWQ9-VgAAn-oF.jpg'],10,72,344,[],[],https://twitter.com/shondarhimes/status/1312120085809565696,False,,1,https://pbs.twimg.com/media/EjWWQ9-VgAAn-oF.jpg,,,,,,,[],,,,
0,1314015003456856064,1314015003456856064,2020-10-08 03:29:24 ora legale Europa occidentale,2020-10-08,03:29:24,200,17565514,shondarhimes,shonda rhimes,,He is literally Vice President of Fantasyland. #VPDebate,en,[],[],[],113,855,7264,['vpdebate'],[],https://twitter.com/shondarhimes/status/1314015003456856064,False,,0,,,,,,,,[],,,,
0,1315701981533495296,1315701981533495296,2020-10-12 19:12:51 ora legale Europa occidentale,2020-10-12,19:12:51,200,17565514,shondarhimes,shonda rhimes,,Another Author Series you don't want to miss!,en,[],[],[],8,10,197,[],[],https://twitter.com/shondarhimes/status/1315701981533495296,False,https://twitter.com/byshondaland/status/1315676099024568330,0,,,,,,,,[],,,,
0,1316047632037416961,1316047632037416960,2020-10-13 18:06:21 ora legale Europa occidentale,2020-10-13,18:06:21,200,17565514,shondarhimes,shonda rhimes,,"Challenge accepted, @MichelleObama!  I challenge @msdebbieallen, @KatieQLowes, and @KristaVernoff to get their #VotingSquad together and vote.  Get started here:  https://t.co/GTtQiRslxV  https://t.co/VoQnH0YROn",en,"[{'screen_name': 'michelleobama', 'name': 'michelle obama', 'id': '409486555'}, {'screen_name': 'msdebbieallen', 'name': 'debbie allen', 'id': '31483387'}, {'screen_name': 'katieqlowes', 'name': 'katie lowes', 'id': '362786454'}, {'screen_name': 'kristavernoff', 'name': 'krista vernoff', 'id': '43254005'}]",['http://weall.vote/votingsquad'],['https://pbs.twimg.com/media/EkOJiF_UwAEs6qg.jpg'],120,247,1808,['votingsquad'],[],https://twitter.com/shondarhimes/status/1316047632037416961,False,,1,https://pbs.twimg.com/media/EkOJiF_UwAEs6qg.jpg,,,,,,,[],,,,
1,1316024177879465984,1316024177879465984,2020-10-13 16:33:09 ora legale Europa occidentale,2020-10-13,16:33:09,200,17565514,shondarhimes,shonda rhimes,,"Didn’t make it into the #ZoomWhereItHappens last time? Don’t worry, we’re making room for more of you all this week.  https://t.co/9xCHo6LqJD  https://t.co/23zDBS0E19",en,[],['https://www.mobilize.us/zoomwhereithappens/event/315927/'],['https://pbs.twimg.com/media/EkN0owoU4AAQvth.jpg'],5,13,157,['zoomwhereithappens'],[],https://twitter.com/shondarhimes/status/1316024177879465984,False,,1,https://pbs.twimg.com/media/EkN0owoU4AAQvth.jpg,,,,,,,[],,,,
1,1318960088116322307,1318960088116322304,2020-10-21 18:59:24 ora legale Europa occidentale,2020-10-21,18:59:24,200,17565514,shondarhimes,shonda rhimes,,"""Why wouldn't I own my shit? Like, why do I feel like it's wrong to do somehow?""⁣ ⁣ Going to start owning it. Starting with this @hollywoodreporter cover. 📸 @kwakualston   Hair by @verylynhairdesigns ⁣ Styling by @theclothingtherapist ⁣ Dress by …  https://t.co/lfqKt2QDox  https://t.co/t114uDP25h",en,"[{'screen_name': 'kwakualston', 'name': 'kwaku alston', 'id': '30922623'}]",['https://instagr.am/p/CGnJGEAJuXj/'],['https://pbs.twimg.com/media/Ek3jNfMX0AAL9Ps.jpg'],58,94,999,[],[],https://twitter.com/shondarhimes/status/1318960088116322307,False,,1,https://pbs.twimg.com/media/Ek3jNfMX0AAL9Ps.jpg,,,,,,,[],,,,
0,1319353912231555072,1319353912231555072,2020-10-22 21:04:19 ora legale Europa occidentale,2020-10-22,21:04:19,200,17565514,shondarhimes,shonda rhimes,,"IT’S TIME TO #VOTELOUD?! 📣  My friends at @WhenWeAllVote are hosting a #CouchParty THIS Friday, October 23rd to make sure YOU and your squad are ready to vote.   There will be music, special guests, and volunteer fun. Join us:  https://t.co/amuZw6m6rH",en,"[{'screen_name': 'whenweallvote', 'name': 'when we all vote', 'id': '1004804740105035777'}]",['http://weall.vote/couchparty'],[],5,19,126,"['voteloud', 'couchparty']",[],https://twitter.com/shondarhimes/status/1319353912231555072,False,https://twitter.com/WhenWeAllVote/status/1318952747010543617,0,,,,,,,,[],,,,
1,1319330021123657729,1319330021123657728,2020-10-22 19:29:23 ora legale Europa occidentale,2020-10-22,19:29:23,200,17565514,shondarhimes,shonda rhimes,,"Vote. Vote. Vote, people.  https://t.co/EThhtCkHGq",en,[],[],[],49,109,2125,[],[],https://twitter.com/shondarhimes/status/1319330021123657729,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1319329942946021376/pu/img/fx92VrwHX1aeoYDM.jpg,,,,,,,[],,,,
0,1319770803789942786,1319770802753921024,2020-10-24 00:40:54 ora legale Europa occidentale,2020-10-24,00:40:54,200,17565514,shondarhimes,shonda rhimes,,"From 10/24-10/30, 6AM - 8PM local time, use promo code NIKE2020 to get a $10 discount off a ride to a poll location or registered ballot dropbox.",en,[],[],[],2,72,197,[],[],https://twitter.com/shondarhimes/status/1319770803789942786,False,,0,,,,,,,,[],,,,
1,1319699912641159169,1319699912641159168,2020-10-23 19:59:12 ora legale Europa occidentale,2020-10-23,19:59:12,200,17565514,shondarhimes,shonda rhimes,,"My friends at @whenweallvote are hosting a #CouchParty TODAY to make sure YOU and your squad are ready to vote.   There will be music, special guests, and volunteer fun. Join us!  https://t.co/Suop5sLfsb  https://t.co/ONUvVAAzUx",en,"[{'screen_name': 'whenweallvote', 'name': 'when we all vote', 'id': '1004804740105035777'}]",['https://instagr.am/p/CGsdkdMJN6S/'],['https://pbs.twimg.com/media/ElCEE7yXgAEj43O.jpg'],5,8,67,['couchparty'],[],https://twitter.com/shondarhimes/status/1319699912641159169,False,,1,https://pbs.twimg.com/media/ElCEE7yXgAEj43O.jpg,,,,,,,[],,,,
